"Population","Correlation","Significance"
"GBR",0.511966393595235,0.001
"FIN",1,0.001
"CHS",0.0706891580264307,0.108
"PUR",0.678058858743456,0.001
"CDX",0.368701626506549,0.001
"CLM",0.840080504794705,0.001
"IBS",0.447828062488733,0.001
"PEL",0.924243873216622,0.001
"PJL",0.863461287976544,0.001
"KHV",0.149090880078001,0.032
"ACB",0.394454799693474,0.001
"GWD",0.768910725587637,0.001
"ESN",0.102062328178606,0.042
"BEB",0.076371344728532,0.128
"MSL",-0.0874053898762657,0.85
"STU",0.213755375192373,0.003
"ITU",0.561262732992209,0.001
"CEU",0.0974717537734836,0.039
"YRI",0.0915938901500535,0.035
"CHB",1,0.001
"JPT",1,0.001
"LWK",0.283519978943101,0.002
"ASW",0.339704420561827,0.001
"MXL",0.754938670906743,0.001
"TSI",0.781102703551413,0.001
"GIH",0.95532336969252,0.001
