"Population","R2","P_value","Has_Error","Error_Message"
"ACB",NA,NA,TRUE,"Unexpected structure in perm_method"
"ASW",NA,NA,TRUE,"Unexpected structure in perm_method"
"BEB",NA,NA,TRUE,"Unexpected structure in perm_method"
"CDX",NA,NA,TRUE,"Unexpected structure in perm_method"
"CEU",NA,NA,TRUE,"Unexpected structure in perm_method"
"CHB",NA,NA,TRUE,"Unexpected structure in perm_method"
"CHS",NA,NA,TRUE,"Unexpected structure in perm_method"
"CLM",NA,NA,TRUE,"Unexpected structure in perm_method"
"ESN",NA,NA,TRUE,"Unexpected structure in perm_method"
"FIN",NA,NA,TRUE,"Unexpected structure in perm_method"
"GBR",NA,NA,TRUE,"Unexpected structure in perm_method"
"GIH",NA,NA,TRUE,"Unexpected structure in perm_method"
"GWD",NA,NA,TRUE,"Unexpected structure in perm_method"
"IBS",NA,NA,TRUE,"Unexpected structure in perm_method"
"ITU",NA,NA,TRUE,"Unexpected structure in perm_method"
"JPT",NA,NA,TRUE,"Unexpected structure in perm_method"
"KHV",NA,NA,TRUE,"Unexpected structure in perm_method"
"LWK",NA,NA,TRUE,"Unexpected structure in perm_method"
"MSL",NA,NA,TRUE,"Unexpected structure in perm_method"
"MXL",NA,NA,TRUE,"Unexpected structure in perm_method"
"PEL",NA,NA,TRUE,"Unexpected structure in perm_method"
"PJL",NA,NA,TRUE,"Unexpected structure in perm_method"
"PUR",NA,NA,TRUE,"Unexpected structure in perm_method"
"STU",NA,NA,TRUE,"Unexpected structure in perm_method"
"TSI",NA,NA,TRUE,"Unexpected structure in perm_method"
"YRI",NA,NA,TRUE,"Unexpected structure in perm_method"
